osmid,y,x,street_count,highway,ref,geometry
126401370,41.1576099,-8.6455537,3,,,POINT (-8.6455537 41.1576099)
126404025,41.1576251,-8.6452777,3,,,POINT (-8.6452777 41.1576251)
126404027,41.1578684,-8.6452239,3,,,POINT (-8.6452239 41.1578684)
126404031,41.1579492,-8.6452239,3,,,POINT (-8.6452239 41.1579492)
126410483,41.1582609,-8.6451306,3,,,POINT (-8.6451306 41.1582609)
126411674,41.159638,-8.6480752,3,,,POINT (-8.6480752 41.159638)
126411675,41.1589957,-8.6474427,3,,,POINT (-8.6474427 41.1589957)
126542182,41.1597645,-8.6500167,3,,,POINT (-8.6500167 41.1597645)
126542188,41.1590659,-8.6483137,3,,,POINT (-8.6483137 41.1590659)
126543210,41.1601343,-8.6490693,3,,,POINT (-8.6490693 41.1601343)
126544301,41.1581908,-8.64944,3,,,POINT (-8.64944 41.1581908)
126544304,41.1584634,-8.6494794,3,,,POINT (-8.6494794 41.1584634)
126547500,41.1601103,-8.6501374,3,,,POINT (-8.6501374 41.1601103)
126554316,41.1564243,-8.6485732,3,,,POINT (-8.6485732 41.1564243)
126580298,41.1644214,-8.64829,3,,,POINT (-8.64829 41.1644214)
126580303,41.1644132,-8.6491665,4,,,POINT (-8.6491665 41.1644132)
126580884,41.1644474,-8.6475889,3,motorway_junction,,POINT (-8.6475889 41.1644474)
126581609,41.164332,-8.6489068,3,,,POINT (-8.6489068 41.164332)
126581622,41.1637503,-8.6485605,3,,,POINT (-8.6485605 41.1637503)
126582697,41.1632676,-8.6494904,3,,,POINT (-8.6494904 41.1632676)
126583944,41.1616708,-8.649894,3,,,POINT (-8.649894 41.1616708)
126592365,41.1667835,-8.626429,5,,,POINT (-8.626429 41.1667835)
126597343,41.1620091,-8.6325164,4,,,POINT (-8.6325164 41.1620091)
126597726,41.1636071,-8.62909,3,,,POINT (-8.62909 41.1636071)
126598827,41.1635081,-8.6274598,4,,,POINT (-8.6274598 41.1635081)
126600950,41.1633519,-8.6248028,5,traffic_signals,,POINT (-8.6248028 41.1633519)
126600959,41.1627307,-8.6208599,4,traffic_signals,,POINT (-8.6208599 41.1627307)
126604779,41.1758929,-8.6278359,3,,,POINT (-8.6278359 41.1758929)
126604780,41.1751065,-8.6276431,3,,,POINT (-8.6276431 41.1751065)
126604783,41.1732552,-8.6267046,3,,,POINT (-8.6267046 41.1732552)
126604785,41.1684558,-8.6254713,3,,,POINT (-8.6254713 41.1684558)
126604789,41.1598688,-8.6246623,4,,,POINT (-8.6246623 41.1598688)
126608577,41.1691499,-8.6256211,3,,,POINT (-8.6256211 41.1691499)
126617351,41.1603666,-8.6044477,4,traffic_signals,,POINT (-8.6044477 41.1603666)
126617352,41.1598906,-8.6027699,4,,,POINT (-8.6027699 41.1598906)
